Registered,Project title,Host parties,Other Parties,Methodology,Reductions,Ref
25/04/2012,"Shaanxi Didonghe 8MW Hydro Power Project",China,Germany,AMS-I.D. ver. 17,19924,5922
25/04/2012,"Baishi Wind-farm Project",China,Sweden,ACM0002 ver. 12,60417,6096
25/04/2012,"Yunnan Dali Tiechuanqiao Hydro Power Project",China,Netherlands,ACM0002 ver. 12,144385,4929
26/04/2012,"Caquende and Juliões Small Hydroelectric Power Plants",Brazil,Japan,AMS-I.D. ver. 16,6341,5483
26/04/2012,"China Resources Weichang Yudaokou Baihuapo 49.5 MW Wind Power Project",China,,ACM0002 ver. 12,97708,6046
26/04/2012,"Datang Ningxia Taiyangshan Phase II Wind Farm Project",China,Switzerland,ACM0002 ver. 12,89564,6089
26/04/2012,"Jiangxi Yudu Yuezhou Hydropower Project",China,Netherlands,ACM0002 ver. 12,100351,6062
26/04/2012,"Guohua Fuyu Youyi North Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,110424,6052
26/04/2012,"Hunan Yuanshui Taoyuan Hydropower Station",China,Netherlands,ACM0002 ver. 12,538071,6027
26/04/2012,"Zagunao River Gucheng Hydropower Project in Sichuan Province",China,Switzerland,ACM0002 ver. 12,551391,5820
26/04/2012,"Jilin Tumen Mopanshan 16 MW Hydro Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,50137,5830
27/04/2012,"Jiangsu Dafeng Wind Power Project",China,Japan,ACM0002 ver. 12,322385,5832
27/04/2012,"Fujian Qingfeng Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,107849,6115
27/04/2012,"Heilongjiang Yilan Hezuolinchang Phase II Wind Power Project",China,Switzerland,ACM0002 ver. 12,54000,6094
27/04/2012,"Fujian Wutong Hydropower Project",China,Japan,ACM0002 ver. 12,55909,5614
27/04/2012,"EA Solar Farm at Lopburi, Thailand",Thailand,,AMS-I.D. ver. 17,7378,6129
27/04/2012,"Shanxi Shenchi Nanhuashan Wind Power Project",China,Switzerland,ACM0002 ver. 12,95454,6097
29/04/2012,"Solar PV power project at Bikaner, India",India,,AMS-I.D. ver. 17,8373,6149
30/04/2012,"Small Hydro Power Project by Kurmi Energy Private Limited",India,,AMS-I.D. ver. 16,31088,5089
30/04/2012,"Omnia N2O Abatement Project II",South Africa,Norway/ United Kingdom of Great Britain and Northern Ireland,ACM0019,348138,6083
30/04/2012,"Yunnan Province Deqin County Sancha River Phase II Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,50540,6127
30/04/2012,"K-water small hydro power plant project (V)",Republic of Korea,Switzerland,AMS-I.D. ver. 17,3100,6024
30/04/2012,"Huachuan (daqingbeishan) Wind Power Project",China,Switzerland,ACM0002 ver. 12,106213,6137
30/04/2012,"Yunnan Province Deqin County Sancha River Phase I Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,61847,6128
30/04/2012,"Nho Que 3 Hydropower Project",Viet Nam,Switzerland,ACM0002 ver. 12,282584,5343
01/05/2012,"Huaneng Wujiangyuan Zu ''anshan Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,87690,6101
Rejected,"Eiamrungruang Waste Water Treatment and Biogas Utilization Project",Thailand,Switzerland,AMS-III.H. ver. 16/ AMS-I.C. ver. 19/ AMS-I.D. ver. 17,56248,6107
01/05/2012,"Renewable wind energy generation in Maharashtra by EMCO Limited",India,,AMS-I.D. ver. 17,14610,5767
01/05/2012,"Suoi Trang Hydropower Plant, Vietnam",Viet Nam,Switzerland,AMS-I.D. ver. 16,5734,5615
01/05/2012,"Nam Chim Hydro Power Project",Viet Nam,Switzerland/ Sweden,ACM0002 ver. 12,35664,5310
02/05/2012,"Yangang Hydropower Station Project in Muli County",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,417342,6059
02/05/2012,"Sichuan Huadian Xixi River Hydro-electricity Development Co., Ltd. Luogu Hydroelectric Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,388867,6153
02/05/2012,"SDIC Qinghai Golmud 30MWP (Phase II) Photovoltaic Power Generation Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,52798,6091
02/05/2012,"Nanyang Danjiang River Solar Cooker Project Phase I",China,Netherlands,AMS-I.C. ver. 19,90204,6125
02/05/2012,"Heilongjiang Dongning Dajiazishan and Xidagang Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,123472,6051
02/05/2012,"Fuqing Jiaru Wind Power Phase II Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,88394,6098
02/05/2012,"La Mora Hydroelectric Project",Nicaragua,Spain,AMS-I.D. ver. 16,5997,3771
03/05/2012,"Sichuan Yuexi Wayan I 5MW & Wayan II 3.2 MW Small-scale Hydro Power Bundled Project",China,Sweden,AMS-I.D. ver. 17,30303,6144
03/05/2012,"Changbai County Baoquan Small-scale Hydro Power Project of Jilin Province",China,,AMS-I.D. ver. 17,20035,5550
03/05/2012,"Sichuan Mabian Small-scale Hydropower Bundled Project",China,Sweden,AMS-I.D. ver. 17,38167,6140
04/05/2012,"Sichuan Jiulong County Longxigou Second Stage Hydropower Station Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,60121,6070
04/05/2012,"Fumin Mayingshan 40.5MW Wind Power Project",China,Australia,ACM0002 ver. 12,68799,5974
04/05/2012,"Ningxia Ningdong Lingwu Wind Power Project",China,Switzerland,ACM0002 ver. 12,104696,6071
04/05/2012,"Nam Lik 1-2 Hydropower Project",Lao People's Democratic Republic/ Thailand,Germany,ACM0002 ver. 12,207512,6120
04/05/2012,"Liaoning Guben Wind Power Project",China,,ACM0002 ver. 12,107168,6063
04/05/2012,"Zhenxiong County Tongping Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,67071,6162
04/05/2012,"Shaanxi Fanshigou Wind Power Project",China,Switzerland,ACM0002 ver. 12,91984,6068
04/05/2012,"SAMS Wind Project",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 16,23957,5332
07/05/2012,"Chenergy Fangzheng County Hutieling Wind Power Project",China,Japan,ACM0002 ver. 12,111965,6114
07/05/2012,"Yingkou EDZ District Heating Project",China,Spain,AM0058 ver. 3,466362,5053
07/05/2012,"CGN Minqin Hongshagang Xianshuijing Wind Power Project",China,Germany/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,84063,5998
07/05/2012,"Zhongyu Fangzheng County Gaoleng Wind Power Project",China,Japan,ACM0002 ver. 12,112625,5950
08/05/2012,"Henan Taiyangshi 5MW Cement Waste Heat Recovery Project",China,Switzerland,ACM0012 ver. 3/ AMS-III.Q. ver. 3,22879,4622
08/05/2012,"Huadian Gansu Akesai Dangjinshan First Phase 49.5MW Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,93254,6150
08/05/2012,"3 MW Grid connected Wind Electricity Generation at Tirunelveli District, Tamil Nadu, India",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,6689,5001
08/05/2012,"CTL Landfill Gas Project",Brazil,Switzerland/ Norway,ACM0001 ver. 17,737221,5947
08/05/2012,"Yunnan Luxi Dongshan Wind Power Project",China,Netherlands,ACM0002 ver. 12,68427,6146
08/05/2012,"Yunnan Luxi Donghua Wind Power Project",China,Netherlands,ACM0002 ver. 12,56681,6147
08/05/2012,"Mabian County Heizu Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,52207,5833
08/05/2012,"Sichuan Xiaojin Mupo Hydropower Project",China,Portugal/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,151697,6169
08/05/2012,"Sichuan Jiulong County Taka Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,332443,6163
08/05/2012,"Yunnan Youfanggou Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,194176,5734
08/05/2012,"Jianping Shiyingzi Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,103149,6133
08/05/2012,"Inner Mongolia Jingneng Huitengxile Wind Farm Phase II Project",China,Finland,ACM0002 ver. 12,74894,6138
09/05/2012,"Technological Renovation Project to Utilize the Waste Resources from the Waste Water Treatment Facilities in Ningbo Wanlong Edible Alcohol Co., Ltd.",China,United Kingdom of Great Britain and Northern Ireland,AMS-III.H. ver. 16/ AMS-I.C. ver. 18,69027,5535
09/05/2012,"Tianjin Longyuan Dagang Phase II Wind Power Project",China,Switzerland,ACM0002 ver. 12,97626,5613
09/05/2012,"Yunnan Luosongchang Class-I Small Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,22161,6174
10/05/2012,"Dakdrinh Hydropower Project",Viet Nam,Switzerland,ACM0002 ver. 12,301238,6184
10/05/2012,"Inner Mongolia Donghao Wind Farm Phase I Project",China,,ACM0002 ver. 12,123808,6100
10/05/2012,"Henan Province Ye County Matoushan Wind Power Plant",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,92039,5819
10/05/2012,"Yongkang MSW Incineration for Power Project",China,Netherlands,AM0025 ver. 12,116858,5604
10/05/2012,"Yunnan Zhenyuan County Yuhe Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12/ AMS-I.D. ver. 17,19899,6064
10/05/2012,"Jilin Taonan Xinli 49.5MW Wind Power Project Phase II",China,Finland/ Germany/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,100035,6179
11/05/2012,"India-FaL-G Brick and Blocks Project No.3",India,Netherlands/ Italy/ Denmark/ Finland/ Austria/ Luxembourg/ Switzerland/ Sweden/ Germany/ Belgium/ Japan/ Norway/ Spain,AMS-III.Z. ver. 3,46728,4831
11/05/2012,"AWMS METHANE RECOVERY PROJECT C5 – RECOVERY, CAPTURE AND FLARING OF METHANE FROM MANURE TREATMENT",Mexico,,AMS-III.D. ver. 17,59718,5088
11/05/2012,"Guizhou Weining Mabaidashan Wind Power Project",China,Switzerland,ACM0002 ver. 12,82667,6105
11/05/2012,"Wuhan Jiangbei West (Xingou) Municipal Solid Waste (MSW) Power Generation Project",China,Netherlands/ United Kingdom of Great Britain and Northern Ireland,AM0025 ver. 12,160822,5683
11/05/2012,"Inner Mongolia Chifeng Xidaliang Wind Power Project",China,Switzerland,ACM0002 ver. 12,128460,6037
11/05/2012,"Amman Ghabawi Landfill Gas to Energy Project",Jordan,Portugal,ACM0001 ver. 11,212064,3370
14/05/2012,"Dalian Tuoshan Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,117140,5693
14/05/2012,"Luopoba 30MW Hydropower Project in Hubei Province",China,Germany,ACM0002 ver. 12,59715,6054
14/05/2012,"Liaoning Fuxin Houzhatai Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,102002,5862
14/05/2012,"Yesanhe Hydropower Project of Jianshi County, Hubei Province",China,,ACM0002 ver. 12,117818,6079
14/05/2012,"Wind Power Project by Ushdev International Limited in Tamil Nadu",India,Australia,AMS-I.D. ver. 17,21806,6121
15/05/2012,"Sichuan Ningnan 6.4MW Yibu River Stage IV Small-scale Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,19095,6212
15/05/2012,"Datang Ningxia Taiyangshan Phase III Wind Farm Project",China,Switzerland,ACM0002 ver. 12,90200,6167
15/05/2012,"Oaxaca IV Wind Energy Project",Mexico,Switzerland/ Spain,ACM0002 ver. 12,245015,6216
15/05/2012,"Wind power project in Tirunelveli, Tamil Nadu by TVS Energy Limited",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,28406,6201
15/05/2012,"Electricity generation from renewable sources - Windfarms Santa Clara I, Santa Clara II, Santa Clara III, Santa Clara IV, Santa Clara V, Santa Clara VI and Eurus VI",Brazil,Switzerland,ACM0002 ver. 12,149358,5495
15/05/2012,"Project Ulubelu Unit 3 – 4 PT. Pertamina Geothermal Energy",Indonesia,Switzerland,ACM0002 ver. 12,581784,5773
16/05/2012,"Guodian Tulufan Daheyan Wind Farm Phase I 49.5 MW Wind Power Project",China,Switzerland,ACM0002 ver. 12,92157,6188
16/05/2012,"Heilongjiang Mishan Linchang Liumao Wind Farm Project",China,Switzerland/ Germany/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,110243,5914
16/05/2012,"8.4 MW Wind Power Project in Rajasthan, India",India,,AMS-I.D. ver. 17,14933,5814
16/05/2012,"Shandong Qixia Tangshan Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,77909,6001
16/05/2012,"Chongqing Qijiang Zhutan Hydropower Project",China,Finland,AMS-I.D. ver. 17,25825,6177
16/05/2012,"Hamhung Hydropower Plant No.1",Democratic People's Republic of Korea,Czech Republic,AMS-I.D. ver. 17,23738,5887
16/05/2012,"Huaneng Wujiangyuan Dafa Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,83162,6195
16/05/2012,"Huaneng Siping Xinfeng Phase IV Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,100553,6112
16/05/2012,"Huaneng Siping Xinfeng Phase II Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,100764,6111
16/05/2012,"Tianjin Dagang Wind Farm Phase 2 49.5MW Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,90444,6141
16/05/2012,"Tianchang Gaoyouhu Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,64590,6199
16/05/2012,"Heilongjiang Yunwushan Wind Power Project",China,France,ACM0002 ver. 12,105599,6215
16/05/2012,"Ningxia Hongsipu Wind Farm Jiaze Phase I Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,92469,6185
16/05/2012,"Heilongjiang Xingkaihu Fengmishan Wind Farm Project",China,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,111658,5917
16/05/2012,"12.0 MW Biomass based power plant project at Baghaura, Punjab, India.",India,,AMS-I.D. ver. 17,60549,5867
17/05/2012,"1.50 MW Wind Power Project at Mahuriya, Madhya Pradesh, India",India,,AMS-I.D. ver. 17,2494,6220
17/05/2012,"Nanling Kaidi Biomass Power Project",China,Switzerland,ACM0018,129918,6218
17/05/2012,"Dashiqiao Central Heating Project",China,Spain,AM0058 ver. 3,106774,5640
18/05/2012,"4 MW Wind Power Project by Varun Industries Ltd. in Tamil Nadu, India",India,,AMS-I.D. ver. 17,8795,6237
21/05/2012,"Beas Mini Hydroelectric Project",India,Germany/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,10737,6239
21/05/2012,"Song Mien 5 Hydropower Project",Viet Nam,Sweden,ACM0002 ver. 12,37852,6203
21/05/2012,"Buseruka Mini Hydro Power Plant",Uganda,Denmark,AMS-I.D. ver. 16,31468,5770
21/05/2012,"Da M’Bri Hydropower Project",Viet Nam,Netherlands,ACM0002 ver. 12,192989,5870
21/05/2012,"Ningxia Tongxin Wind Power Project",China,Netherlands,ACM0002 ver. 12,92947,6175
21/05/2012,"Biomass based Cogeneration unit at Co-operative Sugar mills in Morinda, Punjab, India",India,,AMS-I.C. ver. 18,67060,5728
22/05/2012,"Nam An Hydropower Project",Viet Nam,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 16,13965,5432
22/05/2012,"Sichuan Wusheng County Xiuguan Hydropower Project",China,Switzerland,ACM0002 ver. 12,334933,6249
22/05/2012,"Sichuan Province Yingxiongpo 56MW Hydropower Project",China,Switzerland/ Netherlands,ACM0002 ver. 12,210653,6204
22/05/2012,"Biomass based Cogeneration unit at Co-operative Sugar mills in Fazilka, Punjab, India",India,,AMS-I.C. ver. 19,70684,6072
22/05/2012,"La Glorita Landfill Gas Project",Colombia,Netherlands,ACM0001 ver. 11,98149,5402
22/05/2012,"Project Lumut Balai Unit 1 – 2 PT. Pertamina Geothermal Energy",Indonesia,Switzerland,ACM0002 ver. 12,581784,5785
22/05/2012,"Huasahuasi I and II Hydroelectric Power Plant",Peru,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,73453,6139
22/05/2012,"Fuel Switch, process improvement and energy efficiency initiatives at brick manufacturing plant in Golan, Gujarat, India",India,,AMS-III.Z. ver. 3,33211,6206
22/05/2012,"Shanxi Lingqiu Baicaowan 49.5 MW Wind Power Project",China,,ACM0002 ver. 12,90613,6172
23/05/2012,"Shanxi Shuocheng Limin First Phase Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,100695,6255
24/05/2012,"Baiyang Hydropower Project in Songpan, Sichuan",China,Sweden,ACM0002 ver. 12,97252,5768
24/05/2012,"PTT Green Energy Waste Water Treatment System Project",Indonesia,Switzerland,AMS-III.H. ver. 16,35190,6258
24/05/2012,"Nelson Mandela Bay Metropolitan’s Landfill Gas Project",South Africa,Finland,ACM0001 ver. 11,109473,5692
24/05/2012,"Henan Yuxi Yanshan Wind Power Project",China,France,ACM0002 ver. 12,88254,6253
24/05/2012,"Shanghai Chongming Beiyan Wind Power Project",China,Finland,ACM0002 ver. 12,83295,6223
24/05/2012,"Datang Qiubei Yangxiongshan Wind Power Project",China,France,ACM0002 ver. 12,85261,6248
25/05/2012,"Xiwu Banner Bayanwula 49.5MW Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,110406,6157
25/05/2012,"Zhangbei Wudengshan Wind Farm Phase II Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,100453,6205
25/05/2012,"Hulunbuir City Zhaluomude Wind Farm Datang 49.5 MW Wind Power Project",China,,ACM0002 ver. 12,102774,6250
25/05/2012,"KSEPA 2.6MW PV power plants bundle CDM project",Republic of Korea,,AMS-I.D. ver. 17,2109,5623
25/05/2012,"Henan Nanjie Biomass Cogeneration Project",China,Switzerland,ACM0006 ver. 12,166756,6165
28/05/2012,"UTE 10 MW Grid Connected Wind Power Farm at Caracoles Hill",Uruguay,Spain,AMS-I.D. ver. 17,25350,6287
29/05/2012,"Heilongjiang Huangtuanling Wind Power Project",China,France,ACM0002 ver. 12,94642,6265
29/05/2012,"Municipal Solid Waste Incineration Project in Jingzhou City",China,United Kingdom of Great Britain and Northern Ireland,AM0025 ver. 12,98359,6276
29/05/2012,"Huaneng Tongyu Xinhua 1F Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,105172,5277
29/05/2012,"Huaneng Tongyu Xinhua 1E Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,104667,5094
29/05/2012,"Huaneng Tongyu Xinhua 1D Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,103050,5055
29/05/2012,"Ningxia Tongxin Magaozhuang Wind Power Project",China,Netherlands,ACM0002 ver. 12,92294,6272
29/05/2012,"Proposed 4.2 MW wind power project",India,,AMS-I.D. ver. 17,7608,6056
29/05/2012,"Inner Mongolia Chifeng Gangzi Wind Power Project",China,Switzerland,ACM0002 ver. 12,127076,6233
29/05/2012,"Heilongjiang Xiaobaishan Wind Power Project",China,France,ACM0002 ver. 12,108337,6270
29/05/2012,"Xinjiang Longyuan Habahe Sa'ertamu Phase I 49.5MW Wind Power Project",China,France,ACM0002 ver. 12,102852,6274
29/05/2012,"12 MW Wind Electricity Generation Farm at Radhapuram by M/s Surana Industries Limited",India,,AMS-I.D. ver. 17,26796,5790
29/05/2012,"Israel Ports Landfill Project",Israel,,ACM0001 ver. 12,29300,6252
30/05/2012,"Xeset II Hydropower Project",Lao People's Democratic Republic,Switzerland,ACM0002 ver. 12,155983,5258
